spotifyid,link,genre,notes
6wNeiylbvGTJqqV7blh67f,https://p.scdn.co/mp3-preview/b9c49e87bf7b3b5e222b3119ecbb1035ecab6538,Country / Folk,
0YdvOi1wtAInrJe2cWiPMv,https://p.scdn.co/mp3-preview/40bd4c4cd6b93af006589728df4b73b73d03caac,Rock / Pop,
1JuioOiu0OZCuTgSCx0PgU,https://p.scdn.co/mp3-preview/f376f850d4863bbd6e0e074f73dd0b01a8cf88c9,Rock / Pop,
6sev5iVSDla0WVY40xRTbo,https://p.scdn.co/mp3-preview/24aa495de3d20cc28d4b9d8fedc2b317d373f776,Country / Folk,
7BV9sxEgwJAD38a8lp0gYb,https://p.scdn.co/mp3-preview/055f8b36abc880ace0ac16d75190d1a35a1ec7cd,Rock / Pop,
76foQC9lBIEu0KDbCAE8zf,https://p.scdn.co/mp3-preview/bcdbb2dd51ac1259e66f506046f4d4b5c2064053,Country / Folk,
6SVuFtsvyGuOTLbKsvqvE6,https://p.scdn.co/mp3-preview/4521fa3f5430a9719842c8c8cfb7e56282b048b1,Rock / Pop,
0tUQyxUE5bPV6YFMPifEAb,https://p.scdn.co/mp3-preview/d0ca39c7bdc262f99f6cb19239e62691f003f68f,Rock / Pop,
5rlmXDWHCMTzc1KAZisaEI,https://p.scdn.co/mp3-preview/327f49f069f3e5c98aa795ebb278999b6f9e0431,Soul / Funk / Disco,
6goMcaRTKEWi1XIQ2hYA9X,https://p.scdn.co/mp3-preview/f6bbdbf6c9b9ce420cb24974617a51f0b4aa6a76,Rock / Pop,
3Eh5OiAh6FJIDZth7tZHij,https://p.scdn.co/mp3-preview/a2df8729ce8491ffc1159d610861588fa5fa0917,Rock / Pop,
0mHgsaVhgRZFx1aE8TFX06,https://p.scdn.co/mp3-preview/47232b9c0e2a9e900611456ef422b6a7525bb369,Rock / Pop,
7Befk2b6lcL0M0LtFtI7Pj,https://p.scdn.co/mp3-preview/c5e60614c4d37438994a946cca00f71e5116d72b,Soul / Funk / Disco,
35DARULSoAIBKtzG9NPhEw,https://p.scdn.co/mp3-preview/04e2f23bb3f457edece1f1e54d753dc8e1956e52,Rock / Pop,
6Ri3c8ZdzcAVgkYvkvZhXG,https://p.scdn.co/mp3-preview/c3afd8d744c5d00be88b82c1695fec3ac44512f3,Other,
3D1o8AX6mmiW7AB3qQR6du,https://p.scdn.co/mp3-preview/c663607c3ef1c4fd2d3ccbf0176eedfab7027a46,Rock / Pop,
2iV2vk5iWB835v3DkxiSm9,https://p.scdn.co/mp3-preview/9f6def7399b9f5fa42e21fb74d878a9fba9531ac,Country / Folk,
0sTnAYChEJJRdN4UkWh8lh,https://p.scdn.co/mp3-preview/041555b0e10ad6bdd9cd19d5b8e3ab96f129141f,Country / Folk,
